temperature-(celsius),year,month,country,ISO3
-14.198,1920,Mar,Russian Federation,RUS
-4.7259,1920,Apr,Russian Federation,RUS
3.87625,1920,May,Russian Federation,RUS
10.9553,1920,Jun,Russian Federation,RUS
14.7148,1920,Jul,Russian Federation,RUS
12.9938,1920,Aug,Russian Federation,RUS
4.87241,1920,Sep,Russian Federation,RUS
-7.445,1920,Oct,Russian Federation,RUS
-19.443,1920,Nov,Russian Federation,RUS
-27.34,1920,Dec,Russian Federation,RUS
-25.019,1921,Jan,Russian Federation,RUS
-23.225,1921,Feb,Russian Federation,RUS
-16.561,1921,Mar,Russian Federation,RUS
-7.0524,1921,Apr,Russian Federation,RUS
2.26186,1921,May,Russian Federation,RUS
12.038,1921,Jun,Russian Federation,RUS
15.0972,1921,Jul,Russian Federation,RUS
12.1888,1921,Aug,Russian Federation,RUS
5.63406,1921,Sep,Russian Federation,RUS
-5.0807,1921,Oct,Russian Federation,RUS
-16.021,1921,Nov,Russian Federation,RUS
-27.033,1921,Dec,Russian Federation,RUS
-29.126,1922,Jan,Russian Federation,RUS
-28.428,1922,Feb,Russian Federation,RUS
-16.344,1922,Mar,Russian Federation,RUS
-7.768,1922,Apr,Russian Federation,RUS
2.74328,1922,May,Russian Federation,RUS
11.6733,1922,Jun,Russian Federation,RUS
15.1876,1922,Jul,Russian Federation,RUS
11.7301,1922,Aug,Russian Federation,RUS
4.90899,1922,Sep,Russian Federation,RUS
-6.1471,1922,Oct,Russian Federation,RUS
-18.395,1922,Nov,Russian Federation,RUS
-22.755,1922,Dec,Russian Federation,RUS
-26.996,1923,Jan,Russian Federation,RUS
-25.914,1923,Feb,Russian Federation,RUS
-17.074,1923,Mar,Russian Federation,RUS
-8.9282,1923,Apr,Russian Federation,RUS
1.38862,1923,May,Russian Federation,RUS
11.0038,1923,Jun,Russian Federation,RUS
14.4958,1923,Jul,Russian Federation,RUS
12.6688,1923,Aug,Russian Federation,RUS
6.35181,1923,Sep,Russian Federation,RUS
-3.9959,1923,Oct,Russian Federation,RUS
-17.539,1923,Nov,Russian Federation,RUS
-23.717,1923,Dec,Russian Federation,RUS
-28.763,1924,Jan,Russian Federation,RUS
-25.596,1924,Feb,Russian Federation,RUS
-17.485,1924,Mar,Russian Federation,RUS
-8.1367,1924,Apr,Russian Federation,RUS
3.19533,1924,May,Russian Federation,RUS
10.1173,1924,Jun,Russian Federation,RUS
14.9534,1924,Jul,Russian Federation,RUS
12.3596,1924,Aug,Russian Federation,RUS
6.43601,1924,Sep,Russian Federation,RUS
-5.1017,1924,Oct,Russian Federation,RUS
-14.04,1924,Nov,Russian Federation,RUS
-22.596,1924,Dec,Russian Federation,RUS
-22.278,1925,Jan,Russian Federation,RUS
-24.673,1925,Feb,Russian Federation,RUS
-18.332,1925,Mar,Russian Federation,RUS
-7.4778,1925,Apr,Russian Federation,RUS
2.06668,1925,May,Russian Federation,RUS
9.87971,1925,Jun,Russian Federation,RUS
14.0798,1925,Jul,Russian Federation,RUS
12.1671,1925,Aug,Russian Federation,RUS
5.75828,1925,Sep,Russian Federation,RUS
-3.9094,1925,Oct,Russian Federation,RUS
-16.635,1925,Nov,Russian Federation,RUS
-24.276,1925,Dec,Russian Federation,RUS
-25.375,1926,Jan,Russian Federation,RUS
-25.91,1926,Feb,Russian Federation,RUS
-14.119,1926,Mar,Russian Federation,RUS
-7.2613,1926,Apr,Russian Federation,RUS
0.73991,1926,May,Russian Federation,RUS
10.2362,1926,Jun,Russian Federation,RUS
14.0734,1926,Jul,Russian Federation,RUS
12.5302,1926,Aug,Russian Federation,RUS
5.91471,1926,Sep,Russian Federation,RUS
-4.6658,1926,Oct,Russian Federation,RUS
-16.396,1926,Nov,Russian Federation,RUS
-25.395,1926,Dec,Russian Federation,RUS
-29.816,1927,Jan,Russian Federation,RUS
-24.283,1927,Feb,Russian Federation,RUS
